Sample.Name,Notes,Column,uLonColumn,Fraction,Sample.Group,Treatment.Group,Bio.Normalization
180905_Blk_Blk_11,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS14C2DCM_A,,RP_POS Metabolomics,8,CyanoAq,MS14C2DCM,1,1
180905_Smp_MS4C1DCM_B,,RP_POS Metabolomics,8,CyanoAq,MS4C1DCM,1,1
180905_Blk_Blk_12,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Poo_Day1and2Poo_Half2,,RP_POS Metabolomics,8,CyanoAq,Day1and2Poo,1,0.5
180905_Smp_MS5C115m_B,,RP_POS Metabolomics,8,CyanoAq,MS5C115m,1,1
180905_Smp_MS6C3DCM_B,,RP_POS Metabolomics,8,CyanoAq,MS6C3DCM,1,1
180905_Blk_Blk_13,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS7C1175m_B,,RP_POS Metabolomics,8,CyanoAq,MS7C1175m,1,1
180905_Smp_MS8C115m_B,,RP_POS Metabolomics,8,CyanoAq,MS8C115m,1,1
180905_Blk_Blk_14,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Poo_MesoScopeQC_2,,RP_POS Metabolomics,8,CyanoAq,MesoScopeQC,1,1
180905_Poo_Day1and2Poo_Full2,,RP_POS Metabolomics,8,CyanoAq,Day1and2Poo,1,1
180905_Blk_Blk_15,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS9C2DCM_B,,RP_POS Metabolomics,8,CyanoAq,MS9C2DCM,1,1
180905_Smp_MS10C2175m_C,,RP_POS Metabolomics,8,CyanoAq,MS10C2175m,1,1
180905_Blk_MQBlk_1,,RP_POS Metabolomics,8,CyanoAq,MQBlk,1,1
180905_Smp_MS11C215m_B,,RP_POS Metabolomics,8,CyanoAq,MS11C215m,1,1
180905_Smp_MS12C1DCM_A,,RP_POS Metabolomics,8,CyanoAq,MS12C1DCM,1,1
180905_Blk_Blk_16,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS13C2175m_A,,RP_POS Metabolomics,8,CyanoAq,MS13C2175m,1,1
180905_Smp_MS14C2175m_C,,RP_POS Metabolomics,8,CyanoAq,MS14C2175m,1,1
180905_Blk_Blk_17,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS4C1175m_A,,RP_POS Metabolomics,8,CyanoAq,MS4C1175m,1,1
180905_Smp_MS5C1175m_A,,RP_POS Metabolomics,8,CyanoAq,MS5C1175m,1,1
180905_Blk_SWBlk_1,,RP_POS Metabolomics,8,CyanoAq,SWBlk,1,1
180905_Blk_Blk_18,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS13C2175m_B,,RP_POS Metabolomics,8,CyanoAq,MS13C2175m,1,1
180905_Smp_MS9C215m_C,,RP_POS Metabolomics,8,CyanoAq,MS9C215m,1,1
180905_Blk_Blk_19,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS11C2175m_B,,RP_POS Metabolomics,8,CyanoAq,MS11C2175m,1,1
180905_Smp_MS6C3DCM_A,,RP_POS Metabolomics,8,CyanoAq,MS6C3DCM,1,1
180905_Blk_Blk_20,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS7C1175m_C,,RP_POS Metabolomics,8,CyanoAq,MS7C1175m,1,1
180905_Smp_MS4C1DCM_A,,RP_POS Metabolomics,8,CyanoAq,MS4C1DCM,1,1
180905_Blk_Blk_21,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS9C2175m_B,,RP_POS Metabolomics,8,CyanoAq,MS9C2175m,1,1
180905_Smp_MS4C1175m_B,,RP_POS Metabolomics,8,CyanoAq,MS4C1175m,1,1
180905_Blk_Blk_22,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS11C215m_A,,RP_POS Metabolomics,8,CyanoAq,MS11C215m,1,1
180905_Smp_MS11C215m_C,,RP_POS Metabolomics,8,CyanoAq,MS11C215m,1,1
180905_Blk_Blk_23,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS13C2DCM_A,,RP_POS Metabolomics,8,CyanoAq,MS13C2DCM,1,1
180905_Smp_MS6C315m_A,,RP_POS Metabolomics,8,CyanoAq,MS6C315m,1,1
180905_Blk_Blk_24,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Poo_MesoScopeQC_3,,RP_POS Metabolomics,8,CyanoAq,MesoScopeQC,1,1
180905_Poo_Day1and2Poo_Half3,,RP_POS Metabolomics,8,CyanoAq,Day1and2Poo,1,0.5
180905_Poo_Day1and2Poo_Full3,,RP_POS Metabolomics,8,CyanoAq,Day1and2Poo,1,1
180905_Blk_Blk_25,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Poo_Day1Poo_DDApos20,,RP_POS Metabolomics,8,CyanoAq,Day1Poo,1,1
180905_Smp_MS7C1DCM_B,,RP_POS Metabolomics,8,CyanoAq,MS7C1DCM,1,1
180905_Smp_MS7C1175m_A,,RP_POS Metabolomics,8,CyanoAq,MS7C1175m,1,1
180905_Blk_MQBlk_2,,RP_POS Metabolomics,8,CyanoAq,MQBlk,1,1
180905_Smp_MS13C2175m_C,,RP_POS Metabolomics,8,CyanoAq,MS13C2175m,1,1
180905_Smp_MS5C115m_C,,RP_POS Metabolomics,8,CyanoAq,MS5C115m,1,1
180905_Blk_Blk_27,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS13C2DCM_B,,RP_POS Metabolomics,8,CyanoAq,MS13C2DCM,1,1
180905_Smp_MS5C1175m_B,,RP_POS Metabolomics,8,CyanoAq,MS5C1175m,1,1
180905_Blk_Blk_28,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS6C315m_C,,RP_POS Metabolomics,8,CyanoAq,MS6C315m,1,1
180905_Smp_MS11C2175m_C,,RP_POS Metabolomics,8,CyanoAq,MS11C2175m,1,1
180905_Blk_Blk_29,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS14C2DCM_C,,RP_POS Metabolomics,8,CyanoAq,MS14C2DCM,1,1
180905_Smp_MS8C115m_A,,RP_POS Metabolomics,8,CyanoAq,MS8C115m,1,1
180905_Blk_Blk_30,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS7C115m_C,,RP_POS Metabolomics,8,CyanoAq,MS7C115m,1,1
180905_Smp_MS14C215m_B,,RP_POS Metabolomics,8,CyanoAq,MS14C215m,1,1
180905_Blk_Blk_31,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Blk_SWBlk_2,,RP_POS Metabolomics,8,CyanoAq,SWBlk,1,1
180905_Poo_MesoScopeQC_4,,RP_POS Metabolomics,8,CyanoAq,MesoScopeQC,1,1
180905_Blk_Blk_32,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS6C315m_B,,RP_POS Metabolomics,8,CyanoAq,MS6C315m,1,1
180905_Smp_MS9C215m_A,,RP_POS Metabolomics,8,CyanoAq,MS9C215m,1,1
180905_Blk_Blk_33,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS14C2175m_A,,RP_POS Metabolomics,8,CyanoAq,MS14C2175m,1,1
180905_Smp_MS7C1DCM_A,,RP_POS Metabolomics,8,CyanoAq,MS7C1DCM,1,1
180905_Blk_Blk_34,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS14C215m_C,,RP_POS Metabolomics,8,CyanoAq,MS14C215m,1,1
180905_Smp_MS7C115m_A,,RP_POS Metabolomics,8,CyanoAq,MS7C115m,1,1
180905_Blk_Blk_35,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS13C2DCM_C,,RP_POS Metabolomics,8,CyanoAq,MS13C2DCM,1,1
180905_Smp_MS4C1DCM_C,,RP_POS Metabolomics,8,CyanoAq,MS4C1DCM,1,1
180905_Blk_Blk_36,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS10C215m_C,,RP_POS Metabolomics,8,CyanoAq,MS10C215m,1,1
180905_Smp_MS12C1175m_C,,RP_POS Metabolomics,8,CyanoAq,MS12C1175m,1,1
180905_Blk_Blk_37,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Poo_Day1and2Poo_Full4,,RP_POS Metabolomics,8,CyanoAq,Day1and2Poo,1,1
180905_Poo_Day1and2Poo_Half4,,RP_POS Metabolomics,8,CyanoAq,Day1and2Poo,1,0.5
180905_Blk_Blk_38,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Poo_Day1Poo_DDApos35,,RP_POS Metabolomics,8,CyanoAq,Day1Poo,1,1
180905_Smp_MS11C2175m_A,,RP_POS Metabolomics,8,CyanoAq,MS11C2175m,1,1
180905_Smp_MS5C1DCM_A,,RP_POS Metabolomics,8,CyanoAq,MS5C1DCM,1,1
180905_Blk_Blk_40,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS6C3DCM_C,,RP_POS Metabolomics,8,CyanoAq,MS6C3DCM,1,1
180905_Smp_MS12C115m_C,,RP_POS Metabolomics,8,CyanoAq,MS12C115m,1,1
180905_Blk_Blk_41,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS4C1175m_C,,RP_POS Metabolomics,8,CyanoAq,MS4C1175m,1,1
180905_Smp_MS13C315m_A,,RP_POS Metabolomics,8,CyanoAq,MS13C315m,1,1
180905_Blk_Blk_42,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS13C315m_C,,RP_POS Metabolomics,8,CyanoAq,MS13C315m,1,1
180905_Smp_MS7C1DCM_C,,RP_POS Metabolomics,8,CyanoAq,MS7C1DCM,1,1
180905_Blk_Blk_43,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS5C115m_A,,RP_POS Metabolomics,8,CyanoAq,MS5C115m,1,1
180905_Smp_MS12C1DCM_C,,RP_POS Metabolomics,8,CyanoAq,MS12C1DCM,1,1
180905_Blk_Blk_44,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS11C2DCM_A,,RP_POS Metabolomics,8,CyanoAq,MS11C2DCM,1,1
180905_Smp_MS12C1DCM_B,,RP_POS Metabolomics,8,CyanoAq,MS12C1DCM,1,1
180905_Blk_Blk_45,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Blk_MQBlk_3,,RP_POS Metabolomics,8,CyanoAq,MQBlk,1,1
180905_Blk_SWBlk_3,,RP_POS Metabolomics,8,CyanoAq,SWBlk,1,1
180905_Poo_Day1Poo_DDApos50,,RP_POS Metabolomics,8,CyanoAq,Day1Poo,1,1
180905_Smp_MS11C2DCM_C,,RP_POS Metabolomics,8,CyanoAq,MS11C2DCM,1,1
180905_Smp_MS8C1175m_B,,RP_POS Metabolomics,8,CyanoAq,MS8C1175m,1,1
180905_Blk_Blk_47,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS12C115m_A,,RP_POS Metabolomics,8,CyanoAq,MS12C115m,1,1
180905_Smp_MS10C2175m_B,,RP_POS Metabolomics,8,CyanoAq,MS10C2175m,1,1
180905_Blk_Blk_48,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS10C2DCM_A,,RP_POS Metabolomics,8,CyanoAq,MS10C2DCM,1,1
180905_Smp_MS14C2175m_B,,RP_POS Metabolomics,8,CyanoAq,MS14C2175m,1,1
180905_Blk_Blk_49,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS10C2DCM_C,,RP_POS Metabolomics,8,CyanoAq,MS10C2DCM,1,1
180905_Smp_MS6C3175m_B,,RP_POS Metabolomics,8,CyanoAq,MS6C3175m,1,1
180905_Blk_Blk_50,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS4C115m_B,,RP_POS Metabolomics,8,CyanoAq,MS4C115m,1,1
180905_Smp_MS12C1175m_B,,RP_POS Metabolomics,8,CyanoAq,MS12C1175m,1,1
180905_Blk_Blk_51,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Poo_Day1and2Poo_Half5,,RP_POS Metabolomics,8,CyanoAq,Day1and2Poo,1,0.5
180905_Poo_Day1and2Poo_Full5,,RP_POS Metabolomics,8,CyanoAq,Day1and2Poo,1,1
180905_Poo_MesoScopeQC_5,,RP_POS Metabolomics,8,CyanoAq,MesoScopeQC,1,1
180905_Blk_Blk_52,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS12C115m_B,,RP_POS Metabolomics,8,CyanoAq,MS12C115m,1,1
180905_Smp_MS8C1175m_A,,RP_POS Metabolomics,8,CyanoAq,MS8C1175m,1,1
180905_Blk_Blk_53,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS8C1175m_C,,RP_POS Metabolomics,8,CyanoAq,MS8C1175m,1,1
180905_Smp_MS14C2DCM_B,,RP_POS Metabolomics,8,CyanoAq,MS14C2DCM,1,1
180905_Blk_Blk_54,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS5C1DCM_C,,RP_POS Metabolomics,8,CyanoAq,MS5C1DCM,1,1
180905_Smp_MS8C1DCM_B,,RP_POS Metabolomics,8,CyanoAq,MS8C1DCM,1,1
180905_Blk_Blk_55,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS9C2DCM_C,,RP_POS Metabolomics,8,CyanoAq,MS9C2DCM,1,1
180905_Smp_MS9C2DCM_A,,RP_POS Metabolomics,8,CyanoAq,MS9C2DCM,1,1
180905_Blk_Blk_56,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS8C115m_C,,RP_POS Metabolomics,8,CyanoAq,MS8C115m,1,1
180905_Smp_MS9C2175m_A,,RP_POS Metabolomics,8,CyanoAq,MS9C2175m,1,1
180905_Blk_Blk_57,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS14C215m_A,,RP_POS Metabolomics,8,CyanoAq,MS14C215m,1,1
180905_Smp_MS10C215m_B,,RP_POS Metabolomics,8,CyanoAq,MS10C215m,1,1
180905_Blk_Blk_58,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS10C2175m_A,,RP_POS Metabolomics,8,CyanoAq,MS10C2175m,1,1
180905_Blk_FilterBlank_1,,RP_POS Metabolomics,8,CyanoAq,FilterBlank,1,1
180905_Smp_MS10C2DCM_B,,RP_POS Metabolomics,8,CyanoAq,MS10C2DCM,1,1
180905_Blk_Blk_59,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS4C115m_C,,RP_POS Metabolomics,8,CyanoAq,MS4C115m,1,1
180905_Smp_MS6C3175m_A,,RP_POS Metabolomics,8,CyanoAq,MS6C3175m,1,1
180905_Blk_Blk_60,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS5C1175m_C,,RP_POS Metabolomics,8,CyanoAq,MS5C1175m,1,1
180905_Smp_MS9C215m_B,,RP_POS Metabolomics,8,CyanoAq,MS9C215m,1,1
180905_Blk_Blk_61,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Smp_MS8C1DCM_A,,RP_POS Metabolomics,8,CyanoAq,MS8C1DCM,1,1
180905_Poo_Day1and2Poo_Half6,,RP_POS Metabolomics,8,CyanoAq,Day1and2Poo,1,0.5
180905_Blk_Blk_62,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Poo_Day1and2Poo_Full6,,RP_POS Metabolomics,8,CyanoAq,Day1and2Poo,1,1
180905_Poo_MesoScopeQC_6,,RP_POS Metabolomics,8,CyanoAq,MesoScopeQC,1,1
180905_Poo_Day1and2Poo_Full-240k1,,RP_POS Metabolomics,8,CyanoAq,Day1and2Poo,1,1
180905_Poo_Day1and2Poo_Full-240k2,,RP_POS Metabolomics,8,CyanoAq,Day1and2Poo,1,1
180905_Blk_Blk_63,,RP_POS Metabolomics,8,CyanoAq,Blk,1,1
180905_Std_H2OinMatrix_2,,RP_POS Metabolomics,15,CyanoAq,H2OinMatrix,1,1
180905_Std_250nMStdsInH2O_2,,RP_POS Metabolomics,15,CyanoAq,4uMStdMix4InH2O,1,1
180905_Std_250nMStdsInMatrix_2,,RP_POS Metabolomics,15,CyanoAq,4uMStdMix4InMatrix,1,1
180905_Blk_Blk_64,,RP_POS Metabolomics,15,CyanoAq,Blk,1,1
180905_Blk_Blk_65,,RP_POS Metabolomics,15,CyanoAq,Blk,1,1
